Document,Section,Heading,Main Question,Rubric Count,Concept Count,QA Score,Warning Count,Warning Codes
Surveys Act,11,"Survey plan filed within six months after April 1, 1999",What filing or registration requirements are established by section 11 of Surveys Act?,1,0,100,0,
Surveys Act,12,Lost legal monuments,What does section 12 of Surveys Act provide?,1,2,100,0,
Surveys Act,13,Authority re private property,What powers or authority are established by section 13 of Surveys Act?,3,1,55,5,AMENDMENT_HISTORY_LEAK;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;AMENDMENT_HISTORY_LEAK
Surveys Act,14,Offences and penalties,What offences and penalties are established by section 14 of Surveys Act?,3,1,100,0,
Surveys Act,14.1,Administration,What notice requirements are established by section 14.1 of Surveys Act?,1,1,100,0,
Surveys Act,15,Regulations,What offences or penalties are established by section 15 of Surveys Act?,1,0,95,1,GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,1,Definitions,What definitions are provided in section 1 of Boundaries Confirmation Act?,1,11,95,1,GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,2,This Act binds the Crown,What does section 2 of Boundaries Confirmation Act provide?,1,1,100,0,
Boundaries Confirmation Act,3,Administration,What notice requirements are established by section 3 of Boundaries Confirmation Act?,1,0,100,0,
Boundaries Confirmation Act,4,Designated person,What duties does section 4 of Boundaries Confirmation Act impose about designated person?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Boundaries Confirmation Act,5,Immunity,What duties does section 5 of Boundaries Confirmation Act impose about immunity?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,6,Applicant,What powers or authority are established by section 6 of Boundaries Confirmation Act?,4,5,45,8,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Boundaries Confirmation Act,7,Application,What are the application requirements under section 7 of Boundaries Confirmation Act?,3,4,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,8,Initiation of proceeding by Registrar General,What are the application requirements under section 8 of Boundaries Confirmation Act?,2,3,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Boundaries Confirmation Act,9,Notice of application or proceeding,What are the application requirements under section 9 of Boundaries Confirmation Act?,3,4,75,3,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Boundaries Confirmation Act,10,Objection,What notice requirements are established by section 10 of Boundaries Confirmation Act?,4,7,75,3,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Boundaries Confirmation Act,11,Hearing,What are the application requirements under section 11 of Boundaries Confirmation Act?,3,4,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,12,Order,What objection process is established by section 12 of Boundaries Confirmation Act?,2,2,85,3,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,13,Appeal,What order-making rules are established by section 13 of Boundaries Confirmation Act?,4,10,75,5,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Boundaries Confirmation Act,14,Certification,What offences and penalties are established by section 14 of Boundaries Confirmation Act?,3,4,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Boundaries Confirmation Act,15,Filing of plan of survey,What certification requirements are established by section 15 of Boundaries Confirmation Act?,1,2,95,1,CONCEPT_FRAGMENT
Boundaries Confirmation Act,16,Correction,"How may a filed plan of survey be corrected under section 16 of Boundaries Confirmation Act, and what limits and filing consequences apply?",8,5,75,4,QUESTION_MISSING_SUBJECT;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Boundaries Confirmation Act,17,Removal of monument,What order-making rules are established by section 17 of Boundaries Confirmation Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,18,Boundaries Confirmation Fund,What are the application requirements under section 18 of Boundaries Confirmation Act?,5,2,75,5,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,19,Reduction of fees,What order-making rules are established by section 19 of Boundaries Confirmation Act?,2,1,70,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Boundaries Confirmation Act,20,"Costs, charges and expenses",What are the application requirements under section 20 of Boundaries Confirmation Act?,2,3,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Boundaries Confirmation Act,21,Regulations,What powers or authority are established by section 21 of Boundaries Confirmation Act?,1,0,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,1,Definitions and interpretation,What definitions are provided in section 1 of Community Planning Act?,1,12,80,3,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;TOO_FEW_RUBRIC_ITEMS
Community Planning Act,2,Purposes of Act,What notice requirements are established by section 2 of Community Planning Act?,1,1,100,0,
Community Planning Act,3,Establishment of advisory committees,What requirements are established by section 3 of Community Planning Act?,2,3,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Community Planning Act,4,Duties and powers of advisory committee,What duties does section 4 of Community Planning Act impose about duties and powers of advisory committee?,1,1,90,2,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG
Community Planning Act,5,Membership of advisory committee,What does section 5 of Community Planning Act provide?,4,1,60,5,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,6,Terms of office,What does section 6 of Community Planning Act provide?,7,2,65,7,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,7,Administration of advisory committee,What does section 7 of Community Planning Act provide?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,8,Expenses of advisory committee,What does section 8 of Community Planning Act provide?,1,2,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,9,Provincial Planning Director,What powers or authority are established by section 9 of Community Planning Act?,3,1,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,10,Local government planning director,What powers or authority are established by section 10 of Community Planning Act?,3,1,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Community Planning Act,11,Design review committee by-law,What does section 11 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,12,Content of design review committee by-law,What does section 12 of Community Planning Act provide?,2,1,85,3,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Community Planning Act,13,Establishing statement of public interest,What order-making rules are established by section 13 of Community Planning Act?,3,1,65,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,14,Activities of the Province to be consistent with statement of public interest,What offences and penalties are established by section 14 of Community Planning Act?,3,1,100,0,
Community Planning Act,15,"Plans, by-laws and regulations to be consistent with statement of public interest",What regulation-making authority is established by section 15 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,16,Enforcement,"How may a filed plan of survey be corrected under section 16 of Community Planning Act, and what limits and filing consequences apply?",8,2,90,1,QUESTION_MISSING_SUBJECT
Community Planning Act,17,Review,What does section 17 of Community Planning Act provide?,2,2,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,18,Regional land use plans,What notice requirements are established by section 18 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,18.1,Preparation and content of regional land use plan,What powers or authority are established by section 18.1 of Community Planning Act?,2,1,70,3,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,19,Province to consider regional land use plan,What does section 19 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,20,Effect of regional land use plan,What regulation-making authority is established by section 20 of Community Planning Act?,1,1,100,0,
Community Planning Act,21,Adoption and approval of municipal plan,What requirements are established by section 21 of Community Planning Act?,2,2,50,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,22,Province to consider municipal plan,What requirements are established by section 22 of Community Planning Act?,2,2,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,23,Failure to adopt municipal plan,What powers or authority are established by section 23 of Community Planning Act?,3,2,65,2,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION
Community Planning Act,24,Preparation and content of municipal plan,What powers or authority are established by section 24 of Community Planning Act?,8,1,30,11,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,25,Public notice of municipal plan,What requirements are established by section 25 of Community Planning Act?,6,7,35,5,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION;MALFORMED_QUESTION;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Community Planning Act,26,Validity and coming into force of municipal plan,What certification requirements are established by section 26 of Community Planning Act?,1,2,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,27,Effect of municipal plan,What does section 27 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,28,Conflict between municipal plan and zoning or subdivision by-law,What does section 28 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,29,Secondary municipal plan,What are the application requirements under section 29 of Community Planning Act?,3,1,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,30,Effect of secondary municipal plan,What does section 30 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,31,Conflict between secondary municipal plan and a municipal plan,What does section 31 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,32,Review,What does section 32 of Community Planning Act provide?,3,2,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,32.1,Non-application of Division to villages,What are the application requirements under section 32.1 of Community Planning Act?,1,1,100,0,
Community Planning Act,33,Adoption and approval of rural plans for villages,What requirements are established by section 33 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,33.1,Province to consider rural plan,What requirements are established by section 33.1 of Community Planning Act?,2,2,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,34,Failure to adopt rural plan for a village,What powers or authority are established by section 34 of Community Planning Act?,3,2,65,2,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION
Community Planning Act,35,Preparation and content of rural plan for a village,What powers or authority are established by section 35 of Community Planning Act?,5,1,45,8,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Community Planning Act,36,Secondary rural plan,What does section 36 of Community Planning Act provide?,3,1,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,37,Effect of secondary rural plan,What does section 37 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,38,Conflict between secondary rural plan and a rural plan,What does section 38 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,39,Public notice of rural plan,What notice requirements are established by section 39 of Community Planning Act?,3,3,100,0,
Community Planning Act,40,Validity and coming into force of rural plan for a village,What certification requirements are established by section 40 of Community Planning Act?,1,1,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,41,Effect of rural plan for a village,What does section 41 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,42,Conflict between rural plan for a village and a subdivision by-law,What does section 42 of Community Planning Act provide?,1,0,100,0,
Community Planning Act,43,Review,What does section 43 of Community Planning Act provide?,3,2,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,44,Adoption and approval of rural plans for rural communities,What requirements are established by section 44 of Community Planning Act?,7,1,55,9,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG
Community Planning Act,44.1,Failure to adopt rural plan for a rural community,What powers or authority are established by section 44.1 of Community Planning Act?,3,2,65,2,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION
Community Planning Act,44.2,Province to consider rural plan,What requirements are established by section 44.2 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,45,Validity and coming into force of rural plan for a rural community,What certification requirements are established by section 45 of Community Planning Act?,1,1,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,46,Secondary rural plan,What are the application requirements under section 46 of Community Planning Act?,3,1,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,47,Conflict between secondary rural plan and a rural plan,What does section 47 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,48,Effect of secondary rural plan,What does section 48 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,49,Effect of rural plan for a rural community,What does section 49 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,50,Review,What does section 50 of Community Planning Act provide?,3,2,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,51,Ministerial regulations respecting rural plans for rural districts,What powers or authority are established by section 51 of Community Planning Act?,3,1,45,5,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,51.1,Province to consider rural plan,What requirements are established by section 51.1 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,52,Content of regulation,What are the application requirements under section 52 of Community Planning Act?,8,4,0,12,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,52.1,Review,What regulation-making authority is established by section 52.1 of Community Planning Act?,2,2,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,53,Making of zoning by-law,What powers or authority are established by section 53 of Community Planning Act?,11,1,0,16,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;TOO_MANY_RUBRIC_ITEMS
Community Planning Act,54,Validity and coming into force of zoning by-law,What certification requirements are established by section 54 of Community Planning Act?,1,2,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,55,Variances from zoning by-law,What requirements are established by section 55 of Community Planning Act?,5,2,50,7,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,56,Notice of variance,What notice requirements are established by section 56 of Community Planning Act?,1,1,100,0,
Community Planning Act,57,Payments by developer,What does section 57 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,58,Integrated development zone,What does section 58 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,59,Re-zoning and amendments,What does section 59 of Community Planning Act provide?,9,6,5,13,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Community Planning Act,60,Non-conforming use,What regulation-making authority is established by section 60 of Community Planning Act?,5,1,70,6,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,61,Standards to be met re non-conforming use,What notice requirements are established by section 61 of Community Planning Act?,5,5,75,2,MALFORMED_QUESTION;CONCEPT_FRAGMENT
Community Planning Act,61.1,Province to consider zoning by-law,What are the application requirements under section 61.1 of Community Planning Act?,3,4,60,5,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Community Planning Act,62,Building standards and permits,What does section 62 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,63,Altering of streets and establishing building lines,What requirements are established by section 63 of Community Planning Act?,3,1,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,64,Validity and coming into force of deferred widening by-law,What requirements are established by section 64 of Community Planning Act?,1,2,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,65,Amendment and filing,What filing or registration requirements are established by section 65 of Community Planning Act?,4,3,75,2,MALFORMED_QUESTION;CONCEPT_FRAGMENT
Community Planning Act,66,Acquisition of land,What are the application requirements under section 66 of Community Planning Act?,2,3,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,67,Valid for five years,What filing or registration requirements are established by section 67 of Community Planning Act?,2,2,100,0,
Community Planning Act,68,Access to streets,What does section 68 of Community Planning Act provide?,4,1,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,69,Validity and coming into force of controlled access street by-law,What requirements are established by section 69 of Community Planning Act?,1,1,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,70,Definition of “development”,What definitions are provided in section 70 of Community Planning Act?,1,1,100,0,
Community Planning Act,71,Designation of flood risk area,What does section 71 of Community Planning Act provide?,4,1,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,72,Making and enforcement of flood risk area by-law,What does section 72 of Community Planning Act provide?,7,3,5,10,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,73,Permits re flood risk area by-law,What are the application requirements under section 73 of Community Planning Act?,4,3,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,74,Making of subdivision by-law,What powers or authority are established by section 74 of Community Planning Act?,5,2,50,7,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Community Planning Act,75,Content of subdivision by-law,What does section 75 of Community Planning Act provide?,4,4,50,7,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,76,Land for public purposes,What notice requirements are established by section 76 of Community Planning Act?,2,2,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,77,Exemptions and variances,What does section 77 of Community Planning Act provide?,5,3,70,6,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,78,Approval of variances,What requirements are established by section 78 of Community Planning Act?,4,3,75,5,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,79,Subdivision plan,What definitions are provided in section 79 of Community Planning Act?,2,4,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Community Planning Act,80,Exemptions for certain parcels or conveyances,What regulation-making authority is established by section 80 of Community Planning Act?,2,1,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Community Planning Act,81,Tentative subdivision plan,What are the application requirements under section 81 of Community Planning Act?,5,5,50,7,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,82,Expiry of tentative subdivision plan,What does section 82 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,83,Lay-out of streets and lots,What authority and survey-monument requirements does section 83 of Community Planning Act establish for laying out streets and lots?,4,1,90,1,QUESTION_MISSING_SUBJECT
Community Planning Act,84,Application for approval of subdivision plan,What are the application requirements under section 84 of Community Planning Act?,2,3,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,85,Approval of subdivision plan,What certification requirements are established by section 85 of Community Planning Act?,1,3,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Community Planning Act,86,Filing of subdivision plan,What filing or registration requirements are established by section 86 of Community Planning Act?,1,4,100,0,
